Current Month Return,Prior 5 Months Return,Max Drawdown 6M,Rating,Expected Allocation This Month
50,50,-54.8,88.91,"40,000.00 €"
50,50,-54.9,88.91,"40,000.00 €"
50,50,-55.0,88.91,"40,000.00 €"
50,50,-55.1,88.91,"40,000.00 €"
50,50,-55.2,88.91,"40,000.00 €"
50,50,-55.3,88.91,"40,000.00 €"
50,50,-55.4,88.91,"40,000.00 €"
50,50,-55.5,88.91,"40,000.00 €"
50,50,-55.6,88.90,"40,000.00 €"
50,50,-55.7,88.90,"40,000.00 €"
50,50,-55.8,88.90,"40,000.00 €"
50,50,-55.9,88.90,"40,000.00 €"
50,50,-56.0,88.90,"40,000.00 €"
50,50,-56.1,88.90,"40,000.00 €"
50,50,-56.2,88.90,"40,000.00 €"
50,50,-56.3,88.90,"40,000.00 €"
50,50,-56.4,88.90,"40,000.00 €"
50,50,-56.5,88.90,"40,000.00 €"
50,50,-56.6,88.90,"40,000.00 €"
50,50,-56.7,88.89,"40,000.00 €"
50,50,-56.8,88.89,"40,000.00 €"
50,50,-56.9,88.89,"40,000.00 €"
50,50,-57.0,88.89,"40,000.00 €"
50,50,-57.1,88.89,"40,000.00 €"
50,50,-57.2,88.89,"40,000.00 €"
50,50,-57.3,88.89,"40,000.00 €"
50,50,-57.4,88.89,"40,000.00 €"
50,50,-57.5,88.89,"40,000.00 €"
50,50,-57.6,88.89,"40,000.00 €"
50,50,-57.7,88.89,"40,000.00 €"
50,50,-57.8,88.89,"40,000.00 €"
50,50,-57.9,88.89,"40,000.00 €"
50,50,-58.0,88.89,"40,000.00 €"
50,50,-58.1,88.89,"40,000.00 €"
50,50,-58.2,88.89,"40,000.00 €"
50,50,-58.3,88.89,"40,000.00 €"
50,50,-58.4,88.89,"40,000.00 €"
50,50,-58.5,88.89,"40,000.00 €"
50,50,-58.6,88.89,"40,000.00 €"
50,50,-58.7,88.89,"40,000.00 €"
50,50,-58.8,88.89,"40,000.00 €"
50,50,-58.9,88.89,"40,000.00 €"
50,50,-59.0,88.89,"40,000.00 €"
50,50,-59.1,88.89,"40,000.00 €"
50,50,-59.2,88.89,"40,000.00 €"
50,50,-59.3,88.89,"40,000.00 €"
50,50,-59.4,88.89,"40,000.00 €"
50,50,-59.5,88.89,"40,000.00 €"
50,50,-59.6,88.89,"40,000.00 €"
50,50,-59.7,88.89,"40,000.00 €"
